TEMP_ID,:LABEL,NAME_WESTERN,FAMILY_NAME_WESTERN,GIVEN_NAME_WESTERN,ALT_NAME_WESTERN,CHINESE_NAME_HANZI,CHINESE_ALT_NAME_HANZI,FAMILY_NAME_HANZI,GIVEN_NAME_HANZI,ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,CHRISTIAN_TRADITION,GENDER,GENDER_SERVED,NATIONALITY,BIRTH_DATE,BIRTH_PLACE,DEATH_DATE,DEATH_PLACE,DEGREES,TITLES,OCCUPATION,NOTES,SOURCE
EDCPT_7085,Person,,Anderson,Marie {Miss.},,,,,,,,,,F,,,,,,,,Rev.,,,EDC_1917_2
EDCPT_7086,Person,,Anderson,Mary Raleigh {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1918_2;EDC_1920_3
EDCPT_7087,Person,,Anderson,Minnie M. {Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1918_2;EDC_1920_3
EDCPT_7088,Person,,Anderson,P.B.,,,,,,,,,,,,,,,,,,,,,EDC_1916_02
EDCPT_7089,Person,,Anderson,R.,,,,,,,,,,M,,,,,,,,,,,EDC_1918_2;EDC_1920_3
EDCPT_7090,Person,,Anderson,W.J.W.,,,,,,,,,,,,,,,,,M.D. Ch.B.,,,,EDC_1917_2
EDCPT_7091,Person,,Anderson,William Dunbar,,,,,,,,,,M,,,,,,,,,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7092,Person,,Anderson,William Dunbar,,,,,,,,,,,,,,,,,,,,4 years under Durham,EDC_1916_02
EDCPT_7093,Person,,Andre,F.,,,,,,,,,,,,,,,,,S.J.,Rev.,,,EDC_1917_2
EDCPT_7094,Person,,André,F.,,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1918_2;EDC_1920_3
EDCPT_7095,Person,,Andre,J.,,,,,,,,,,M,,,,,,,,Fr.,,,EDC_1917_2
EDCPT_7096,Person,,André-Gabriel,{Brother},,,,,,,,,,M,,France,,,,,,,,,EDC_1918_2;EDC_1920_3
EDCPT_7097,Person,,Andrew,Geirge Findlay,,,,,,,,,,M,,,1887,,1971,,,,,,EDC_1916_02
EDCPT_7098,Person,,Andrew,George Findlay,,,,,,,,,,M,,,,,,,O.R.E.,F.R.G.S,,,EDC_1918_2;EDC_1917_2;EDC_1920_3
EDCPT_7099,Person,,Andrew,Mary {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_02
EDCPT_7100,Person,,Andrews,Mary E. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1918_2;EDC_1920_3; EDC_1917_2
EDCPT_7101,Person,,Ange,Tsung,,,,,,,,,,,,,,,,,,,,,EDC_1916_03
EDCPT_7102,Person,,Angelé,{Mlle.},,,,,,,,,,F,,,,,,,,,,,EDC_1920_4
EDCPT_7103,Person,,Angelin,M.,,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1918_3; EDC_1917_2
EDCPT_7104,Person,,Anges,,,,,,,,,,,F,,,,,,,,,,,EDC_1918_3
EDCPT_7105,Person,,Angus,William R.,,,,,,,,,,,,,,,,,B.A.,,,,EDC_1916_03
EDCPT_7106,Person,,Angwin,{Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_03
EDCPT_7107,Person,,Angwin,R. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1918_3; EDC_1917_2
EDCPT_7108,Person,,Anneberg,Anna Marie {Miss},,,,,,,,,,F,,,,,,,B. A.,,,,EDC_1914_1
EDCPT_7109,Person,,Annis,{Rev.},,,,,,,,,,M,,,,,,,"S.E., M.A., B.D.",,,,EDC_1920_4
EDCPT_7110,Person,,Anthelme,{Brother},,,,,,,,,,M,,,,,,,,,,,EDC_1918_3;EDC_1920_4; EDC_1917_3
EDCPT_7111,Person,,Anthony,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_4
EDCPT_7112,Person,,Anthony,"Janet, M. {Miss}",,,,,,,,,,F,,,,,,,,,,,EDC_1918_3
EDCPT_7113,Person,,Antoine,,,,,,,,,,,F,,,,,,,,,,,EDC_1918_3
EDCPT_7114,Person,,Antoine,King,King; Antoine,,,,,,,,,M,,,,,,,,,,,EDC_1920_4; EDC_1916_56
EDCPT_7115,Person,,Anton,C.E.,,,,,,,,,,M,,,,,,,,,,,EDC_1918_3
EDCPT_7116,Person,,Antonin,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_4
EDCPT_7117,Person,,Aoki,T.,,,,,,,,,,M,,,,,,,,,,,EDC_1917_3
EDCPT_7118,Person,,Aplin,H. G.{Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1914_1
EDCPT_7119,Person,,Aplin,H.G. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_03
EDCPT_7120,Person,,Archangelus,{Frére},,,,,,,,,,M,,France,,,,,,,,,EDC_1920_4
EDCPT_7121,Person,,Archangelus,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_4
EDCPT_7122,Person,,Argelander,Frank,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_4
EDCPT_7123,Person,,Aristonique,{Brother},,,,,,,,,,M,,,,,,,,Rev.,,,EDC_1920_4
EDCPT_7124,Person,,Aristonique,M.,,,,,,,,,,,,,,,,,,,,,EDC_1917_3
EDCPT_7125,Person,,Arlt,,,,,,,,,,,,,,,,,,,,,,EDC_1916_03
EDCPT_7126,Person,,Arnaiz,Gregorio {Brother},,,,,,,,,,M,,,,,,,,O.P.,,,EDC_1920_4; EDC_1917_3
EDCPT_7127,Person,,Arnold,{Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1916_03
EDCPT_7128,Person,,Arnold,Annie M. {Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1920_4; EDC_1917_3
EDCPT_7129,Person,,Arnold,L.,,,,,,,,,,,,,,,,,Ph.B.,,,,EDC_1917_3
EDCPT_7130,Person,,Arps,{Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1916_03
EDCPT_7131,Person,,Arps,W.,,,,,,,,,,,,,,,,,,,,,EDC_1916_03
EDCPT_7132,Person,,Arthurs,Ann Catherine {Miss},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1920_4
EDCPT_7133,Person,,Artindale,K. {Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1917_3
EDCPT_7134,Person,,Ashby,Carrie M {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_03
EDCPT_7135,Person,,Ashby,Carrie M. {Miss.},,,,,,,,,,F,,,,,,,,,,,EDC_1917_3
EDCPT_7136,Person,,Atkins,E. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_4
EDCPT_7137,Person,,Atkinson,Virginia M. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_4; EDC_1917_3
EDCPT_7138,Person,,Attaway,B. {Miss.},,,,,,,,,,,,,,,,,B.A.,,,,EDC_1917_3
EDCPT_7139,Person,,Aubrey,G.E.,,,,,,,,,,M,,,,,,,M.D.,,,,EDC_1920_4; EDC_1917_3
EDCPT_7140,Person,,Audigier,{Madam},,,,,,,,,,F,,,,,,,,,,,EDC_1914_1
EDCPT_7141,Person,,Audigier,S. {Mme.},,,,,,,,,,F,,France,,,,,,,,,EDC_1920_4; EDC_1917_3
EDCPT_7142,Person,,Augur,William Russell,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_4; EDC_1917_3
EDCPT_7143,Person,,Augustin,F.,,,,,,,,,,M,,,,,,,C.T.,,,,EDC_1920_4
EDCPT_7144,Person,,Augustin,Leon,,,,,,,,,,M,,,,,,,,Fr.,,,EDC_1917_3
EDCPT_7145,Person,,Augustine,{F.},,,,,,,,,,,,,,,,,,,,,EDC_1916_03
EDCPT_7146,Person,,Ausone,{Father},,,,,,,,,,M,,,,,,,,,,,EDC_1920_5
EDCPT_7147,Person,,Ausone,F.M.,,,,,,,,,,M,,,,,,,,,,,EDC_1917_3
EDCPT_7148,Person,,Aust,Frank,,,,,,,,,,M,,,,,,,B. Sc.,,,,EDC_1920_5
EDCPT_7149,Person,,Aust,Frank B,,,,,,,,,,U,,,,,,,B. Sc.,,,,EDC_1914_1
EDCPT_7150,Person,,Avit,{Brother},,,,,,,,,,M,,,,,,,,,,,EDC_1920_5;EDC_1917_3
EDCPT_7151,Person,,Avit,{Fre.},,,,,,,,,,,,,,,,,,,,,EDC_1916_04
EDCPT_7152,Person,,Avit,Joseph,,,,,,,,,,U,,,,,,,,,,,EDC_1914_1
EDCPT_7153,Person,,Baber,R.E.,,,,,,,,,,M,,England,,,,,B.A.,,,,EDC_1918_4; EDC_1917_3
EDCPT_7154,Person,,Bader,Edith M. {Miss},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1920_5
EDCPT_7155,Person,,Bader,Harriet A. {Miss},,,,,,,,,,F,,,,,,,M.A.,,,,EDC_1920_5
EDCPT_7156,Person,,Badgely,D.C. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_5
EDCPT_7157,Person,,Bagby,Olive E. {Miss.},,,,,,,,,,F,,England,,,,,B.A.,,,,
EDCPT_7158,Person,,Bahrenburg,Lyra H. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_5
EDCPT_7159,Person,,Bailey,Genevieve {Miss},,,,,,,,,,F,,,,,,,Pd.B.,,,,EDC_1920_5; EDC_1918_4
EDCPT_7160,Person,,Bailey,Margaret Hart {Miss},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1920_5; EDC_1918_4; EDC_1917_3
EDCPT_7161,Person,,Bailie,Joseph,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_5; EDC_1918_4; EDC_1917_4
EDCPT_7162,Person,,Bailie,Joseph,,,,,,,,,,U,,,,,,,B.A.,,,,EDC_1914_1
EDCPT_7163,Person,,Baird,George Burleigh {Rev.},,,,,,,,,,M,,,,,,,M.A.,,,,EDC_1920_5; EDC_1917_4
EDCPT_7164,Person,,Bakeman,P. R.,,,,,,,,,,M,,,,,,,M.A.,Rev.,,,EDC_1920_5
EDCPT_7165,Person,,Baker,Catherine {Miss.},,,,,,,,,,F,,,,,,,,,,,EDC_1917_4
EDCPT_7166,Person,,Baker,Dwight C.,,,,,,,,,,M,,,,,,,M.A.,,,,EDC_1917_4
EDCPT_7167,Person,,Balean,{Miss},,,,,,,,,,F,,,,,,,Art Teachers' Certificate,,,,EDC_1920_6
EDCPT_7168,Person,,Balme,Harold,,,,,,,,,,M,,U.K.,,,,,D.P.H.,,F.R.C.S.,,EDC_1920_6; EDC_1918_5; EDC_1917_4
EDCPT_7169,Person,,Bankes,{Miss},,,,,,,,,,F,,,,,,,"M.T., M.D.",,,,EDC_1920_6; EDC_1918_5
EDCPT_7170,Person,,Bankes,May T. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1916_04
EDCPT_7171,Person,,Banks,Mary T. {Miss.},,,,,,,,,,F,,,,,,,,,,,EDC_1917_4
EDCPT_7172,Person,,Bao,Chih-ching,,,,,,,,,,U,,,,,,,,,,,EDC_1920_6
EDCPT_7173,Person,,Bao,Yuen-beh,,,,,,,,,,U,,,,,,,,,,,EDC_1914_1
EDCPT_7174,Person,,Barba,A,,,,,,,,,,M,,Spain,,,,,O.P.,Rev.,,,EDC_1918_5
EDCPT_7175,Person,,Barchet,Bessie {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1914_1
EDCPT_7176,Person,,Barker,Thomas M.,,,,,,,,,,M,,,,,,,B.A. (T.C.D.),Rev.,,,EDC_1920_6; EDC_1918_5; EDC_1917_4
EDCPT_7177,Person,,Barlow,R.C.,,,,,,,,,,U,,,,,,,,,,,EDC_1914_2
EDCPT_7178,Person,,Barnett,E.E.,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_6; EDC_1918_5; EDC_1917_4
EDCPT_7179,Person,,Barney,R.W.,,,,,,,,,,,,,,,,,B.A.,,,,EDC_1916_05
EDCPT_7180,Person,,Barney,R. W.,,,,,,,,,,U,,,,,,,B. A.,,,,EDC_1914_2
EDCPT_7181,Person,,Barrand,Julien,,,,,,,,,,M,,U.S.A.,,,,,LL.B.,,,,EDC_1918_5; EDC_1917_4
EDCPT_7182,Person,,Barrand,J.,,,,,,,,,,M,,,,,,,LL.D.,,,,EDC_1920_6; EDC_1918_5
EDCPT_7183,Person,,Barretto,Mercedes {Miss.},,,,,,,,,,F,,,,,,,,,,,EDC_1918_5
EDCPT_7184,Person,,Barrow,E. P. G.,,,,,,,,,,U,,,,,,,,,,,EDC_1914_2
EDCPT_7185,Person,,Barrow,E.P. Graham,,,,,,,,,,M,,,,,,,,,,,EDC_1920_6; EDC_1918_5; EDC_1917_4
EDCPT_7186,Person,,Barrow,J.N.,,,,,,,,,,,,,,,,,B.A.,,,,EDC_1917_4
EDCPT_7187,Person,,Barrow,John V.,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_6; EDC_1918_5
EDCPT_7188,Person,,Bartelt,K.,,,,,,,,,,U,,,,,,,,,,,EDC_1918_5; EDC_1917_4
EDCPT_7189,Person,,Bartlett,Carrie M {Miss},,,,,,,,,,f,,,,,,,Ph. B.,,,,EDC_1916_05
EDCPT_7190,Person,,Bartley,H.S.,,,,,,,,,,M,,,,,,,B.A.,,,,EDC_1920_6
EDCPT_7191,Person,,Barton,Harold Bullard,,,,,,,,,,U,,,,,,,"B. A.,",,,,EDC_1914_2
EDCPT_7192,Person,,Bascom,M.,,,,,,,,,,U,,,,,,,,,,,EDC_1914_2
EDCPT_7193,Person,,Bascombe,N. W. {Miss.},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1918_5; EDC_1917_5
EDCPT_7194,Person,,Bash,C. {Miss.},,,,,,,,,,F,,U.S.A.,,,,,B.A.; M.D.,,,,EDC_1918_5; EDC_1917_5
EDCPT_7195,Person,,Bash,C. Clementine {Miss},,,,,,,,,,F,,,,,,,M.D.,,,,EDC_1920_6
EDCPT_7196,Person,,Basilee,F.,,,,,,,,,,M,,,,,,,B.S.,,,,EDC_1920_6; EDC_1918_5
EDCPT_7197,Person,,Bassett,A.,,,,,,,,,,,,,,,,,"B.A., LL.B",,,,EDC_1916_05
EDCPT_7198,Person,,Bassity,{Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1918_6
EDCPT_7199,Person,,Basto,A.J.,,,,,,,,,,U,,Mexico,,,,,,,,,EDC_1918_6; EDC_1917_5
EDCPT_7200,Person,,Basto,A.S.,,,,,,,,,,M,,,,,,,,,,,EDC_1920_6; EDC_1918_6
EDCPT_7201,Person,,Bate,E.B. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_6
EDCPT_7202,Person,,Bateman,{Miss},,,,,,,,,,M,,,,,,,,,,,EDC_1920_6
EDCPT_7203,Person,,Bates,Margaret Handy {Miss.},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1918_6; EDC_1917_5
EDCPT_7204,Person,,Bau,T.,,,,,,,,,,U,,,,,,,,,,,EDC_1914_2
EDCPT_7205,Person,,Bau,Y.Y.,,,,,,,,,,,,,,,,,,,,,EDC_1920_6
EDCPT_7206,Person,,Baugh,V. E.R. {Miss},,,,,,,,,,F,,,,,,,,,,,EDC_1920_6; EDC_1918_6; EDC_1917_5
EDCPT_7207,Person,,Baxter,A.,,,,,,,,,,,,,,,,,,Rev.,,,EDC_1916_05
EDCPT_7208,Person,,Baxter,Alex,,,,,,,,,,M,,,,,,,B.A.,Rev.,,,EDC_1920_7; EDC_1918_6; EDC_1917_5
EDCPT_7209,Person,,Baxter,D.E.,,,,,,,,,,M,,,,,,,M.D.,,,,EDC_1920_7
EDCPT_7210,Person,,Bayne,Parker McEwan,,,,,,,,,,M,,,,,,,M.A.,,,,EDC_1920_7; EDC_1918_6; EDC_1917_5
EDCPT_7211,Person,,Be,Tuh-we,,,,,,,,,,U,,China,,,,,,,,,EDC_1918_6; EDC_1917_5
EDCPT_7212,Person,,Beach,C. {Mrs.},,,,,,,,,,F,,,,,,,,,,,EDC_1917_5
EDCPT_7213,Person,,Beach,F.P. {Mrs.},,,,,,,,,,F,,,,,,,B.A.,,,,EDC_1917_5
EDCPT_7214,Person,,Beach,Frederick P.,,,,,,,,,,M,,,,,,,M.A.,Rev.,,A.B.C.F.M. {American Board of Commissioners for Foreign Missions},EDC_1917_5
EDCPT_7215,Person,,Beach,Frederick P. {Rev.},,,,,,,,,,M,,,,,,,M.A.,,"Secretary, ""Fukien Christian Educational Association""",,EDC_1920_7; EDC_1918_6
